Key,en,de,fr,it,hu,zh,ar
authenticator_is_not_policy_compliant,"This authentication method cannot be used with your application","Dieser Authentifikator kann nicht mit Ihrer Anwendung verwendet werden.","Cet authentificateur ne peut pas être utilisé avec votre application.","Questo autenticatore non può essere utilizzato con la vostra applicazione.","Ez az azonosítási mód nem használható.","此认证方法无法与您的应用程序一起使用。","لا يمكن استخدام هذه الطريقة للمصادقة مع التطبيق الخاص بك"
fingerprint_authenticator_not_enrolled,"Before using the fingerprint authentication method, enroll your fingerprint in the System Settings","Ihr Fingerabdruck muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Fingerabdruck authentisieren können.","Avant d'utiliser l'authentificateur d'empreintes digitales, vous devez définir votre empreinte digitale dans les préférences du système.","Prima di utilizzare il fingerprint authenticator, è necessario impostare la propria impronta digitale nelle impostazioni di sistema.","Az ujjlenyomatos azonosítás mód használatához először regisztrálnia kell az ujjlenyomatát a redszerbeállításokban.","此认证方式无法与您的应用程序配合使用","قبل استخدام طريقة التوثيق بالبصمة ، قم بتسجيل بصمتك في إعدادات الهاتف الخاص بك"
face_recognition_authenticator_not_enrolled,"Before using face recognition, you must register it in the System Settings","Ihr Gesichtsausdruck muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Gesichtsausdruck authentisieren können.","Avant de l'utiliser, vous devez enregistrer votre visage dans les paramètres du système.","Prima di usarlo, devi iscrivere il tuo viso nelle Impostazioni di sistema.","Az arcfelismeréses azonosítási mód használatához először regisztrálnia kell az arcképét a redszerbeállításokban.","在使用面部识别前，必须在系统设置中注册","قبل استخدام التعرف على الوجه ، يجب عليك تسجيله في إعدادات النظام"
select_pin_authenticator_description,"This authentication method is less secure","Diese Anmeldungsmethode ist weniger sicher.","Cette méthode de connexion est moins sûre.","Questo metodo di login è meno sicuro.","A PIN-kódos azonosítási mód kevésbé biztonságos.","这种登录方式安全级别较低","هذه الطريقة للتوثيق أقل أمانًا"
select_fingerprint_authenticator_description,"We recommend fingerprint authentication as a login method. Make sure you have at least one fingerprint registered in the System Settings.","Wir empfehlen die Authentifizierung per Fingerabdruck als Login-Methode. Bitte stellen Sie sicher, dass Sie mindestens einen Fingerabdruck in Ihren Einstellungen registriert haben.","Nous recommandons l'authentification par les empreintes digitales comme méthode de connexion. Veuillez vous assurer que vous avez au moins une empreinte digitale enregistrée dans vos paramètres.","Si consiglia l'autenticazione tramite impronta digitale come metodo di login. Assicuratevi di avere almeno un'impronta digitale registrata nelle vostre impostazioni.","Az ujjlenyomatos azonosítási mód javasolt. Ellenőrizze a redszerbeállításokban, hogy regisztrálva van-e legalább egy ujjlenyomata.","我们建议使用指纹验证作为登陆方式。请您确认在设置中注册至少一个指纹","نوصي بالتوثيق بواسطة البصمة كطريقة للدخول. تأكد من تسجيل بصمة واحدة على الأقل في إعدادات هاتفك"
select_face_authenticator_description,"We recommend Face authentication as login method. Please make sure you have at least one face registered in your settings.","Wir empfehlen die Authentifizierung per Gesichtserkennung als Login-Methode. Bitte stellen Sie sicher, dass Sie mindestens ein Gesicht in Ihren Einstellungen registriert haben.","Nous recommandons l'authentification par réconnaissance faciale comme méthode de connexion. Veuillez vous assurer que vous avez au moins un visage enregistrée dans vos paramètres.","Si consiglia l'autenticazione tramite riconoscimento facciale come metodo di login. Assicuratevi di avere almeno una faccia registrata nelle vostre impostazioni.","Az arcfelismeréses azonosítási mód javasolt. Ellenőrizze a redszerbeállításokban, hogy regisztrálva van-e az arcképe.","我们建议使用面部认证作为登录方式。请确保您在设置中至少注册了一个面部。","نوصي بالتوثيق عبر التعرف على الوجه كطريقة للدخول. يرجى التأكد من تسجيل وجه واحد على الأقل في إعداداتك"
inter_app_link_automatic_redirect_with_countdown_and_button,"You will return to the previous application. Press the button to continue now.","Die App führt Sie in einem Moment zum nächsten Bildschirm. Drücken Sie die Taste , um jetzt fortzufahren.","L'application vous amènera à l'écran suivant dans un instant. Appuyez sur le bouton pour continuer maintenant.","L'applicazione ti porterà alla schermata successiva in un momento. Premi il pulsante per continuare ora.","Visszatérés az előző alkalmazáshoz. Nyomja meg a gombot a folytatáshoz.","该应用程序将在一会儿带你到下一个屏幕。现在就按下按钮继续。","سوف تعود إلى التطبيق السابق. اضغط على الزر للمتابعة الآن"
inter_app_link_automatic_redirect_with_countdown,"You will return to the previous application.","Die App führt Sie in einem Moment zum nächsten Bildschirm.","L'application vous amènera à l'écran suivant dans un instant.","L'applicazione ti porterà alla schermata successiva in un momento.","Visszatérés az előző alkalmazáshoz.","该应用程序将在一会儿带你到下一个屏幕。","سوف تعود إلى التطبيق السابق."
inter_app_link_redirect_without_countdown,"You will return to the previous application. Press the button to continue.","Die App führt Sie zum nächsten Bildschirm. Drücken Sie die Taste , um fortzufahren.","L'application vous amènera à l'écran suivant. Appuyez sur le bouton pour continuer.","L'applicazione ti porterà alla schermata successiva. Premi il pulsante per continuare.","Visszatérés az előző alkalmazáshoz. Nyomja meg a gombot a folytatáshoz.","该应用程序将带你到下一个屏幕。按下按钮，继续。","سوف تعود إلى التطبيق السابق. اضغط على الزر للمتابعة"
error_invalid_oob_payload,"Invalid content received","Ungültiger Inhalt empfangen.","Contenu invalide reçu.","Contenuto non valido ricevuto.","Érvénytelen a kapott információ.","收到无效内容","تم استلام محتوى غير صالح"
scanner_screen_access_denied_close,"Close","Schliessen","Fermer","Chiudi","Bezárás","关闭","إغلاق"
scanner_screen_decoding_error_close,"Close","Schliessen","Fermer","Chiudi","Bezárás","关闭","إغلاق"
authenticator_selection_screen_info,"Select authentication method","Gewünschte Authentisierungsmethode auswählen","Sélectionnez la méthode d'authentification désirée","Seleziona il metodo di autenticazione desiderato.","Válasszon egy azonosítási módot","选择您希望使用的验证方式","اختر طريقة التوثيق"
registration_screen_info,"Enter your credentials to start the registration","Geben Sie Ihre Zugangsdaten ein, um mit der Registrierung zu beginnen.","Entrez vos identifiants pour vous enregistrer.","Inserisci le tue credenziali per registrarti.","Adja meg azonosító adatait a regisztrációhoz.","请输入您的凭证来开始注册","أدخل بيانات الاعتماد الخاصة بك لبدء التسجيل"
settings_screen_section_actions_footer,"Resetting data erases all registrations and custom settings","Das Zurücksetzen von Daten löscht jede Registrierung oder benutzerdefinierte Einstellung.","La réinitialisation des données efface tout enregistrement ou réglage personnalisé.","Il ripristino dei dati cancella qualsiasi registrazione o impostazione personalizzata.","Az alaphelyzetben állítás törli a regisztrált fiókokat és más beállításokat.","重置数据将删除所有的注册以及个人设置","إعادة تعيين البيانات تمحو جميع التسجيلات والإعدادات المخصصة"
account_screen_pin_authenticator_error_alert_closebutton,"Close","Schliessen","Fermer","Chiudi","Bezárás","关闭","اغلاق"
error_screen_pin_change_account_removed_after_lockout,"For security reasons, you were locked out and your account has been removed. Reregister in order to be able to authenticate again.","Aus Sicherheitsgründen wurden Sie ausgesperrt und Ihr Konto wurde entfernt. Sie müssen ein neues Konto einrichten, bevor Sie sich wieder authentifizieren können.","Pour des raisons de sécurité, vous avez été bloqué et votre compte a été supprimé. Vous devez définir un nouveau compte avant de pouvoir vous authentifier à nouveau.","Per ragioni di sicurezza, sei stato bloccato e il tuo account è stato rimosso. Devi definire un nuovo account prima di poterti autenticare di nuovo.","Biztonsági okokból a fiókja eltávolításra került. Regisztráljon újra.","出于安全原因，您已被锁定并且您的帐户已被删除。您需要定义一个新帐户才能再次进行身份验证。","لأسباب أمنية، تم تأمينك وتمت إزالة حسابك. يرجى إعادة التسجيل للمصادقة مرة أخرى."
error_screen_user_lockout_title,"Access Blocked","Zugriff blockiert","Accès verrouillé","Accesso bloccato","Hozzáférés blokkolva","您的访问已被限","تم حظر الوصول"
outdated_app_screen_description,"Update to the latest version to continue","Um fortfahren zu können müssen Sie auf die neuste Version aktualisieren!","Afin de poursuivre, veuillez télécharger la dernière version!","È necessario aggiornare l'applicazione per poter proseguire!","A folytatáshoz frissítsen a legújabb verzióra.","请升级到最新版本进行使用！","قم بالتحديث إلى الإصدار الأخير للمتابعة"
outdated_app_screen_update,"Update in the App Store","Aktualisierung im App Store","Mettre à jour dans l’App Store","Aggiornamento disponibile su App Store.","Frissítsen az App Store-ban.","到软件商店进行更新","تحديث في متجر التطبيقات"
permission_screen_authenticator_not_enrolled_action_title,"Go to Settings","Zu den Einstellungen gehen","Aller aux préférences","Vai alle impostazioni","Ugrás a rendszerbeállításokhoz","前往设置","اذهب إلى الإعدادات"
permission_screen_authenticator_not_enrolled_title,"Authentication Method Not Configured","Authentisierungsmethode nicht konfiguriert","Méthode d'authentification non activée.","Metodo di autenticazione non attivato.","Az azonosítási mód nincs beállítva.","没有配置验证方式","لم يتم تكوين طريقة التوثيق"
permission_screen_authenticator_not_enrolled_message,"Configure selected biometric authentication method in the System Settings","Ihre gewählte Authentisierungsmethode ist nicht eingestellt. Bitte konfigurieren Sie diese in den Systemeinstellungen.","La méthode d'authentification choisie n'est pas configurée. Veuillez l'activez dans les réglages système.","Per favore vai alle impostazioni e attiva l'autenticazione biometrica.","Állítsa be a kiválasztott biometrikus azonosítási módszert a redszerbeállításokban.","您选择的验证方式还没有设置，请在系统设置中设置","قم بتكوين طريقة التوثيق البيومترية المختارة في إعدادات النظام للهاتف"
push_notifications_no_available_token,"The app cannot receive push notifications. We recommend activating push notifications for the app in the system settings for a more convenient authentication process.","Die App kann keine Push-Benachrichtigungen empfangen. Wir empfehlen, für einen komfortableren Authentifizierungsprozess Push-Benachrichtigungen für die App in den Systemeinstellungen zu aktivieren.","L'application ne peut pas recevoir de notifications push. Nous vous recommandons d'activer les notifications push pour l'application dans les préférences du système afin de faciliter le processus d'authentification.","L'app non può ricevere notifiche push. Si consiglia di abilitare le notifiche push per l'app nelle impostazioni di sistema per un processo di autenticazione più conveniente.","Az alkalmazás nem tud push-értesítéseket fogadni. A kényelmesebb hitelesítési folyamat érdekében javasoljuk, hogy a rendszerbeállításokban aktiválja a push-értesítéseket az alkalmazás számára.","应用程序无法接收推送通知。我们建议在系统设置中激活应用程序的推送通知，以便更方便地进行身份验证。","لا يمكن للتطبيق تلقي إشعارات فورية. نوصي بتفعيل الإشعارات الفورية للتطبيق في إعدادات النظام للحصول على عملية مصادقة أكثر ملاءمة."
push_screen_access_denied_title,"Notifications Disabled","Zugriff auf Benachrichtigungen verweigert","Accès aux notifications refusé","Accesso alle notifiche negato","Az értesítések le vannak tiltva.","未开启推送消息接收权限","تم تعطيل الإشعارات"
push_screen_access_denied_description,"Enable push notifications for the application in the System Settings","Für eine komfortablere Benutzererfahrung während der Authentifizierung empfehlen wir, Push-Benachrichtigungen zu akzeptieren. Wenn Sie Push-Benachrichtigungen ablehnen, müssen Sie stattdessen QR-Codes scannen.","Pour une expérience plus confortable de l'utilisateur lors de l'authentification, nous vous recommandons d'accepter les notifications push. Si vous refusez les notifications push, vous devrez scanner les codes QR.","Per un'esperienza utente più comoda durante l'autenticazione, si consiglia di accettare le notifiche push. Rifiutando le notifiche push, sarà necessario scansionare i QR-codici.","Engedélyezze az értesítéseket az alkalmazás számára a redszerbeállításokban.","为了更好的使用体验，我们建议您允许应用接收推送消息，否则您将只能使用二维码扫描的方式进行验证","قم بتمكين الإشعارات الفورية للتطبيق في إعدادات النظام"
push_screen_access_denied_settings,"Open System Settings","Systemeinstellungen öffnen","Ouvrir les préférences système","Aprire le impostazioni di sistema","Rendszerbeállítások","打开系统设置","افتح إعدادات النظام"
push_confirmation_to_process_title,"Received message","Nachricht empfangen","Message reçu","Messaggio ricevuto","Fogadott üzenet","收到的信息","تم استلام الرسالة"
push_confirmation_to_process_confirm,"Continue","Fortfahren","Continuer","Continua","Folytatás","继续","استمر"
push_confirmation_to_process_postpone,"Postpone","Zurückstellen","Ajourner","Rimandare","Elhalasztás","推迟","تأجيل"
error_registration_user_not_enrolled,"Set a PIN or register a biometric authentication method","Bitte definieren Sie eine PIN oder registrieren Sie zuerst Ihren Fingerabdruck oder Ihr Gesicht.","Veuillez définir un PIN ou enregistrer votre empreinte digitale ou visage d'abord.","Per favore imposta un PIN o registra la tua impronta digitale.","Adjon meg egy PIN-kódot, vagy regisztráljon egy biometrikus azonosítási módszert.","请先设置识别码、指纹或面部识别","قم بتعيين رقم سري أو تسجيل طريقة التوثيق البيومترية"
error_registration_critical,"A technical error occurred.\nPlease contact support.","Ein technischer Fehler ist aufgetreten.\nBitte kontaktieren Sie den Support.","Une erreur technique est survenue.\nVeuillez contacter le support.","Si è verificato un errore tecnico.\nPer favore chiama il supporto.","Hiba történt. Ha segítségre van szüksége, vegye fel a kapcsolatot az ügyfélszolgálattal.","出现技术问题\n请联系客服","حدث خطأ تقني. الرجاء الاتصال بالدعم."
error_authentication_user_denied_app_pin,"The PIN authentication method is no longer accepted. This is most likely because passcode protection was removed from your device, please re-enable it through the system settings.","Die PIN-Authentifizierungsmethode wird nicht mehr akzeptiert. Dies liegt höchstwahrscheinlich daran, dass der Passcode-Schutz von Ihrem Gerät entfernt wurde. Bitte aktivieren Sie ihn wieder über die Systemeinstellungen.","La méthode d'authentification par code PIN n'est plus acceptée. Cela est probablement dû au fait que la protection par code secret a été supprimée de votre appareil. Veuillez la réactiver dans les paramètres du système.","Il metodo di autenticazione PIN non è più accettato. Questo è molto probabile perché la protezione del codice di accesso è stata rimossa dal tuo dispositivo, riabilitala attraverso le impostazioni di sistema.","A PIN-kódos azonosítási mód a továbbiakban nem használható. Valószínűleg a belépő kóddal való azonosítás le lett tiltva a készülékén. Engedélyezze újra rendszerbeállításokban.","PIN验证方法已不再被接受。这最有可能是因为您的设备移除了密码保护，请通过系统设置重新启用它。","لم يعد يتم قبول طريقة التوثيق بواسطة الرقم السري. هذا على الأرجح لأنه تمت إزالة الحماية بواسطة الرمز السري من جهازك ، يرجى إعادة تمكينها من خلال إعدادات النظام."
error_authentication_user_denied_face_recognition,"The Face ID authentication method is no longer accepted. This is most likely because Face ID authentication was removed from your device or access was revoked for the app. Please re-enable it through the system settings.","Die Authentifizierungsmethode Face ID wird nicht mehr akzeptiert. Dies liegt höchstwahrscheinlich daran, dass die Face ID-Authentifizierung von Ihrem Gerät entfernt wurde oder der Zugriff für die App gesperrt wurde. Bitte aktivieren Sie sie wieder über die Systemeinstellungen.","La méthode d'authentification Face ID n'est plus acceptée. Cela est très probablement dû au fait que l'authentification Face ID a été supprimée de votre appareil ou que l'accès a été révoqué pour l'application. Veuillez la réactiver dans les paramètres du système.","Il metodo di autenticazione Face ID non è più accettato. Molto probabilmente ciò è dovuto al fatto che l'autenticazione con Face ID è stata rimossa dal tuo dispositivo o che l'accesso all'app è stato revocato. Si prega di riattivarla attraverso le impostazioni di sistema.","A Face ID-val való azonosítási mód a továbbiakban nem használható. Valószínűleg a Face ID azonosítási módszer le lett tiltva a készüléken, vagy nincs engedélyezve az alkalmazás számára. Engedélyezze újra a rendszerbeállításokban.","Face ID验证方法已不再被接受。这最有可能是因为您的设备移除了Face ID验证或者应用的访问权限被撤销。请通过系统设置重新启用它。","لم يعد يتم قبول طريقة التوثيق Face ID. هذا على الأرجح لأنه تمت إزالة التوثيق Face ID من جهازك أو تم سحب الوصول للتطبيق. يرجى إعادة تمكينه من خلال إعدادات النظام."
error_authentication_user_denied_fingerprint,"The Touch ID authentication method is no longer accepted. This is most likely because Touch ID was removed from your device, please re-enable it through the system settings.","Die Authentifizierungsmethode Touch ID wird nicht mehr akzeptiert. Dies liegt höchstwahrscheinlich daran, dass Touch ID von Ihrem Gerät entfernt wurde. Bitte aktivieren Sie es wieder über die Systemeinstellungen.","La méthode d'authentification Touch ID n'est plus acceptée. Cela est probablement dû au fait que Touch ID a été supprimé de votre appareil. Veuillez le réactiver dans les paramètres du système.","Il metodo di autenticazione Touch ID non è più accettato. Questo è molto probabile perché Touch ID è stato rimosso dal tuo dispositivo, riabilitalo attraverso le impostazioni di sistema.","A Touch ID-val való azonosítási mód a továbbiakban nem használható. Valószínűleg a Touch ID azonosítási módszer le lett tiltva a készüléken, vagy nincs engedélyezve az alkalmazás számára. Engedélyezze újra a rendszerbeállításokban.","Touch ID验证方法已不再被接受。这最有可能是因为您的设备移除了Touch ID，请通过系统设置重新启用它。","لم يعد يتم قبول طريقة التوثيق Touch ID. هذا على الأرجح لأنه تمت إزالة Touch ID من جهازك ، يرجى إعادة تمكينه من خلال إعدادات النظام."
error_authentication_user_not_enrolled,"Set a PIN or register a biometric authentication method","Bitte geben Sie eine PIN ein oder registrieren Sie zuerst Ihren Fingerabdruck oder Ihr Gesicht.","Veuillez définir un PIN et enregistrer votre empreinte digitale d'abord.","Per favore imposta un PIN o registra la tua impronta digitale.","Be kell állítania egy PIN-kódot, vagy regisztrálnia kell egy biometrikus azonosítási módszert.","请先设置识别码、指纹或面部识别","قم بتعيين رقم سري أو تسجيل طريقة التوثيق البيومترية"
error_authentication_critical,"A technical error occurred.\nPlease contact support.","Ein technischer Fehler ist aufgetreten.\nBitte kontaktieren Sie den Support.","Une erreur technique est survenue.\nVeuillez contacter le support.","Si è verificato un errore tecnico.\nPer favore chiama il supporto.","Hiba történt. Ha segítségre van szüksége, vegye fel a kapcsolatot az ügyfélszolgálattal.","出现技术问题\n请联系客服","حدث خطأ تقني. الرجاء الاتصال بالدعم."
error_deregistration_user_not_enrolled,"Set a PIN or register a biometric authentication method","Bitte geben Sie eine PIN ein oder registrieren Sie zuerst Ihren Fingerabdruck oder Ihr Gesicht.","Veuillez définir un PIN et enregistrer votre empreinte digitale d'abord.","Per favore imposta un PIN o registra la tua impronta digitale.","Be kell állítania egy PIN-kódot, vagy regisztrálnia kell egy biometrikus azonosítási módszert.","请先设置识别码、指纹或面部识别","قم بتعيين رقم سري أو تسجيل طريقة التوثيق البيومترية"
error_deregistration_critical,"A technical error occurred.\nPlease contact support.","Ein technischer Fehler ist aufgetreten.\nBitte kontaktieren Sie den Support.","Une erreur technique est survenue.\nVeuillez contacter le support.","Si è verificato un errore tecnico.\nPer favore chiama il supporto.","Hiba történt. Keresse az ügyfélszolgálatot.","出现技术问题\n请联系客服","حدث خطأ تقني. الرجاء الاتصال بالدعم."
account_naming_screen_account_field_placeholder,"Account Name","Name des Kontos","Nom du Compte","Nome dell'Account","Fióknév","账户名称","اسم الحساب"
account_naming_screen_rename_title,"Rename Account","Konto Umbennenen","Renommer Compte","Rinominare l'Account","Fiók átnevezése","重命名账户","إعادة تسمية الحساب"
account_screen_rename_button,"Rename","Umbenennen","Renommer","Rinominare","Átnevezés","重命名","إعادة تسمية"
account_screen_deregister_alert_message_ios,"Do you want to remove the account named %@?","Möchten Sie das Konto mit dem Namen %@ entfernen?","Voulez-vous supprimer le compte nommé %@?","Vuoi rimuovere l'account chiamato %@?","Eltávolítja a(z) %@ fiókot?","你想移除名为%@的账户吗？","هل تريد إزالة الحساب المسمى %@؟"
error_dispatch_target_missing_key,"Your registration has been deleted because device protection was modified. Please contact support.","Ihre Registrierung wurde gelöscht, weil der Geräteschutz geändert wurde. Um die Anwendung wieder verwenden zu können, wenden Sie sich bitte an den Support.","Votre enregistrement a été supprimé car la protection de l'appareil a été modifiée. Pour pouvoir utiliser à nouveau l'application, veuillez contacter le service d'assistance.","La vostra registrazione è stata cancellata perché la protezione del dispositivo è stata modificata. Per poter utilizzare nuovamente l'applicazione si prega di contattare il supporto.","A fiókja regisztrációja törölve lett, mert a készüléke biztonsági beállításai megváltoztak. Ha segítségre van szüksége, vegye fel a kapcsolatot az ügyfélszolgálattal.","您的注册已被删除，因为设备保护被修改。为了能够再次使用该应用程序，请联系支持。","تم حذف التسجيل الخاص بك لأنه تم تعديل حماية الجهاز. الرجاء الاتصال بالدعم."
error_common_networking,"Your device is experiencing network issues.\nTry again later.","Es treten Netzwerkprobleme auf. Bitte versuchen Sie es später erneut, wenn Sie eine bessere Netzverbindung haben.","Vous avez des problèmes de réseau. Veuillez essayer à nouveau lorsque vous aurez une meilleure connexion.","Ci sono problemi di rete. Per favore riprova più tardi quando la connessione dati sarà migliore.","Hálózati probléma.\nPróbálja újra később.","您的手机存在网络问题\n请在网络畅通时重新尝试","هاتفك يواجه مشاكل في الشبكة. حاول مرة أخرى في وقت لاحق."
error_common_critical,"A technical error occurred.\nPlease contact support.","Ein technischer Fehler ist aufgetreten.\nBitte kontaktieren Sie den Support.","Une erreur technique est survenue.\nVeuillez contacter le support.","Si è verificato un errore tecnico.\nPer favore chiama il supporto.","Hiba történt. Vegye fel a kapcsolatot az ügyfélszolgálattal.","出现技术问题\n请联系客服","حدث خطأ تقني. الرجاء الاتصال بالدعم."
error_common_generic,"A technical error occurred, try again","Ein technischer Fehler ist aufgetreten.\nBitte versuchen Sie es erneut.","Une erreur technique est survenue.\nVeuillez réessayer.","Si è verificato un errore tecnico.\nPer favore prova di nuovo.","Hiba történt. Próbálja meg újra.","出现技术问题\n请重新尝试","حدث خطأ تقني ، حاول مرة أخرى."
inter_app_link_back_to_app_description,"You can now close the application and continue","Sie können die App jetzt schließen und fortfahren.","Vous pouvez maintenant fermer l'application et continuer.","Ora è possibile chiudere l'applicazione e continuare.","Bezárhatja ezt az alkalmazást, és folytathatja.","现在您可以关闭应用程序并继续。","يمكنك الآن إغلاق التطبيق والاستمرار"
error_sdk_init_protection_title,"Device protection error","Fehler beim Geräteschutz","Erreur de protection de l'appareil","Errore di protezione del dispositivo","Eszköz-biztonsági hiba","设备保护错误","خطأ في حماية الجهاز"
error_sdk_init_no_passcode_description,"For security reasons the application requires the device passcode to be set.\nEnable it in the System Settings.","Aus Sicherheitsgründen verlangt die Anwendung, dass der Gerätepasscode eingestellt wird.\nBitte aktivieren Sie ihn in den Systemeinstellungen.","Pour des raisons de sécurité, l'application exige que le code d'accès de l'appareil soit défini. Veuillez l'activer dans les paramètres système.","Per ragioni di sicurezza l'applicazione richiede l'impostazione del codice di accesso al dispositivo.","A fiókja biztonsága érdekében be kell állítania egy jelkulcsot / azonosítókulcsot.\nEngedélyezze a redszerbeállításokban, majd próbálja újra.","出于安全原因，应用程序需要设置设备密码，请在系统设置中启用。","لأسباب أمنية ، يتطلب التطبيق تعيين رمز الدخول للجهاز. قم بتمكينه في إعدادات النظام."
error_sdk_init_no_passcode_settings_button,"Open System Settings","Systemeinstellungen öffnen","Ouvrir les préférences systèmes","Apri le impostazioni di sistema","Rendszerbeállítások","打开系统设置","افتح إعدادات النظام"
error_sdk_init_device_protection_description,"This device is not supported by the application for security reasons","Dieses Gerät wird von der Anwendung aus Sicherheitsgründen nicht unterstützt.","Ce dispositif n'est pas pris en charge par l'application pour des raisons de sécurité.","Questo dispositivo non è supportato dall'applicazione per motivi di sicurezza.","Ez a készülék nem felel meg az alkalmazás minimális biztonsági követelményeinek.","出于安全原因，应用程序不支持这个设备。","هذا الجهاز غير مدعوم من قبل التطبيق لأسباب أمنية"
app_center_logging_user_confirmation_title,"<app name> Quit Unexpectedly","<app name> Wurde Unerwartet Beendet","<app name> Quitte Inopinément","<app name> Esce Inaspettatamente","<app name> Kilépett","<app name>意外退出","استقال بشكل غير متوقع <app name> "
app_center_logging_user_confirmation_description,"Sending a report will help to solve the issue in future releases. The report does not contain any personal information.\n\nDo you want to send the report?","Das Senden eines Berichts wird dazu beitragen, das Problem in zukünftigen Versionen zu lösen. Der Bericht enthält keine persönlichen Informationen.\n\nMöchten Sie den Bericht senden?","L'envoi d'un rapport nous aidera à résoudre le problème dans les prochaines versions. Le rapport ne contient aucune information personnelle. Voulez-vous envoyer le rapport ?","L'invio di un rapporto aiuterà a risolvere il problema nelle versioni future. Il rapporto non contiene informazioni personali.\nDesideri inviare il rapporto?","A jelentés nem tartalmaz személyes adatokat. A jelentés elküldésével segíteni tud nekünk, hogy kijavítsuk a hibát a következő verzióban.\n\nElküldi a jelentést?","发送报告将有助于在今后的版本中解决该问题。您想发送报告吗？","سيساعد إرسال تقرير على حل المشكلة في الإصدارات المستقبلية. لا يحتوي التقرير على أي معلومات شخصية.\n\nهل تريد إرسال التقرير?"
app_center_logging_user_confirmation_yes_button,"Yes","Ja","Oui","Sì","Igen","是","نعم"
app_center_logging_user_confirmation_no_button,"No","Nein","Non","No","Nem","没有","لا."
app_center_logging_user_confirmation_do_not_display_again_checkbox,"Do not show this message again","Diese Meldung nicht mehr anzeigen","Ne plus afficher ce message","Non mostrare più questo messaggio","Ne mutassa ezt az üzenetet legközelebb","不再显示此信息","لا تظهر هذه الرسالة مرة أخرى"
NSCameraUsageDescription,"Enable the camera to scan the QR code","Aktivieren Sie die Kamera, um den QR-Code zu scannen.","Activez l'appareil photo pour scanner le code QR.","Abilita la fotocamera per scansionare il codice QR.","Engedélyezze az alkalmazásnak a kamera használatát, hogy be tudja olvasni a QR-kódot.","允许使用相机进行二维码扫描","قم بتمكين الكاميرا لمسح الرمز الشريطي QR"
NSFaceIDUsageDescription,"Enable Face ID to register","Das Aktivieren der Face ID ermöglicht die Verwendung des FIDO Face Recognition Authenticators.","Utilisez Face ID afin de pouvoir vous authentifier","Abilitando il Face ID potrai utilizzare l'autenticazione FIDO Face Recognition.","Engedélyezze a Face ID-t a regisztráláshoz.","允许面部识别来进行注册","قم بتمكين Face ID للتسجيل"
application_pin_authenticator_title,"PIN","PIN","PIN","PIN","PIN-kód","识别码","PIN"
application_pin_authenticator_description,"Authentication using a PIN","Authentifizierung mit einer PIN","Authentification à l'aide d'un code PIN","Autenticazione tramite PIN","Azonosítás PIN-kóddal.","使用识别码验证","التوثيق باستخدام رقم سري"
application_pin_authenticator_enroll_user_action,"Set a PIN","Eine PIN festlegen","Définir un code PIN","Impostare un PIN","Adjon meg egy PIN-kódot","设置识别码","اضبط رقم سري"
application_pin_authenticator_change_credential_action,"Change PIN","PIN ändern","Changer de code PIN","Cambiare il PIN","PIN-kód módosítása","更换识别码","تغيير الرقم السري"
fingerprint_authenticator_title,"Touch ID","Touch ID","Touch ID","Touch ID","Touch ID","指纹识别","Touch ID"
fingerprint_authenticator_description,"Authentication based on Touch ID","Authentifizierung basierend auf Touch ID","Authentification basée sur le Touch ID","Autenticazione basata su Touch ID","Azonosítás Touch ID-val.","基于指纹识别验证","التوثيق بناءً على Touch ID"
face_recognition_authenticator_title,"Face ID","Face ID","Face ID","Face ID","Face ID","面部识别","Face ID"
face_recognition_authenticator_description,"Authentication based on Face ID","Authentifizierung basierend auf Face ID","Authentification basée sur le Face ID","Autenticazione basata su Face ID","Azonosítás Face ID használatával.","基于面部识别验证","التوثيق بناءً على Face ID"
biometric_verification_authentication_with_account_description_ios,"Please authenticate as %@ to complete the operation.","Bitte authentifizieren Sie sich als %@, um die Operation abzuschließen.","Veuillez vous authentifier en tant que %@ pour terminer l'opération.","Si prega di autenticarsi come %@ per completare l'operazione.","A művelet végrehajtásához azonosítsa magát, mint %@.","作为%@进行认证以完成操作。","يرجى التوثيق باسم @% لإكمال العملية."
unknown_authenticator_title,"Unknown Authenticator","Unknown Authenticator","Unknown Authenticator","Unknown Authenticator","Ismeretlen azonosító eszköz.","无效验证人","مصادق غير معروف"
unknown_authenticator_description,"This authentication method is unknown","Diese Authentifizierungsmethode ist unbekannt","Cette procédure d'authentification est inconnue","Questo metodo di autenticazione è sconosciuto","Ismeretlen azonosítási módszer","这种认证方法是未知的","هذه الطريقة للتوثيق غير معروفة"
pin_protection_status_description_previous_error_retries_without_cooldown_ios,"An invalid PIN was previously provided. You have %d tries left.","Es wurde zuvor eine ungültige PIN eingegeben. Sie haben noch %d Versuche übrig.","Un code PIN invalide a été fourni précédemment. Il vous reste %d essais.","In precedenza è stato fornito un PIN non valido. Avete %d tentativi rimasti.","Korábban érvénytelen PIN-kódot adott meg. %d próbálkozása maradt.","之前提供的PIN无效。你还有%d次尝试机会。","تم تقديم رقم سري غير صحيح مسبقًا. لديك %d محاولات متبقية."
